id,designator,value,tolerance,power,qty,package,primary_part,alternates,notes
U1,U1,LM358 dual op-amp,-,-,1,DIP-8,TI LM358N / ST LM358N,LM358P;LM2904,2 op-amps: A = reference buffer; B = inverting summer
R1,R1,2.0 kOhm,1%,1/4 W,1,axial through-hole,Yageo RC 2.0k 1%,1.96k+39;2.05k,w = Rf/R1 = 0.50 (input x1 branch)
R2,R2,4.0 kOhm,1%,1/4 W,1,axial through-hole,Yageo RC 4.0k 1%,3.9k+100;4.02k,w = Rf/R2 = 0.25 (input x2 branch)
RF,Rf,1.0 kOhm,1%,1/4 W,1,axial through-hole,Yageo RC 1.0k 1%,1.0k 0.5% preferred,feedback resistor
R3,R3,10 kOhm,1%,1/4 W,1,axial through-hole,Yageo RC 10k 1%,10k 0.1% preferred,reference divider top (VDD side)
R4,R4,10 kOhm,1%,1/4 W,1,axial through-hole,Yageo RC 10k 1%,10k 0.1% preferred,reference divider bottom (gnd) -> 2.5 V node
C1,C1,0.1 uF ceramic,10%,50 V,2,radial ceramic,100nF X7R,100nF C0G,decoupling: U1 VCC->gnd and near reference divider
C2,C2,10 uF electrolytic,20%,16 V,1,radial electrolytic,10uF 16V,,bulk decoupling near supply input
PSU,PSU,5 V supply,-,-,1,-,USB 5V / current-limited bench supply,USB charger;LM317 bench,current-limited bench supply preferred
BRD,BRD,half-size breadboard,-,-,1,830-point,generic breadboard,,with 5-V power rails
JW,JW,jumper wires,-,-,10,22 AWG solid core,generic,dupont M-M,for rails and node links
